Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count
2024-01-03,19,0.0,0.0,0.118,0.882,0.0,0.0,1.0,3.0
2024-01-03,20,0.0,0.0,0.344,0.656,0.0,0.0,2.0,2.0
2024-01-03,21,0.0,0.0,0.403,0.597,0.0,0.0,1.0,1.0
2024-01-03,22,0.0,0.0,0.456,0.544,0.0,0.0,1.0,1.0
2024-01-03,23,0.472,0.0,0.016,0.511,2.0,0.0,1.0,1.0
2024-01-04,0,0.905,0.039,0.0,0.056,2.0,1.0,0.0,1.0
2024-01-04,1,0.039,0.0,0.197,0.764,1.0,0.0,1.0,2.0
2024-01-04,2,0.0,0.0,0.364,0.636,0.0,0.0,1.0,1.0
2024-01-04,3,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0
2024-01-04,4,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0
2024-01-04,5,0.079,0.079,0.567,0.275,2.0,1.0,2.0,2.0
2024-01-04,6,0.0,0.0,0.767,0.233,0.0,0.0,2.0,2.0
2024-01-04,7,0.721,0.079,0.039,0.161,1.0,1.0,1.0,1.0
2024-01-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-04,9,0.6,0.0,0.203,0.197,2.0,0.0,2.0,1.0
2024-01-04,10,0.928,0.0,0.072,0.0,1.0,0.0,1.0,0.0
2024-01-04,11,0.213,0.0,0.197,0.59,3.0,0.0,3.0,1.0
2024-01-04,12,0.63,0.0,0.118,0.252,2.0,0.0,2.0,2.0
2024-01-04,13,0.275,0.0,0.236,0.489,2.0,0.0,2.0,4.0
2024-01-04,14,0.0,0.0,0.197,0.803,0.0,0.0,1.0,2.0
2024-01-04,15,0.616,0.039,0.0,0.344,2.0,1.0,0.0,1.0
2024-01-04,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-04,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-04,18,0.531,0.0,0.079,0.39,1.0,0.0,1.0,2.0
2024-01-04,19,0.0,0.0,0.236,0.764,0.0,0.0,1.0,2.0
2024-01-04,20,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-01-04,21,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-04,22,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0
2024-01-04,23,0.0,0.0,0.315,0.685,1.0,0.0,1.0,2.0
2024-01-05,0,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0
2024-01-05,1,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0
2024-01-05,2,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0
2024-01-05,3,0.0,0.0,0.302,0.698,0.0,0.0,1.0,1.0
2024-01-05,4,0.0,0.0,0.603,0.397,0.0,0.0,1.0,1.0
2024-01-05,5,0.039,0.118,0.669,0.174,1.0,1.0,2.0,2.0
2024-01-05,6,0.0,0.0,0.469,0.531,0.0,0.0,3.0,3.0
2024-01-05,7,0.761,0.079,0.161,0.0,2.0,1.0,1.0,0.0
2024-01-05,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-05,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-05,10,0.449,0.0,0.0,0.551,3.0,0.0,0.0,2.0
2024-01-05,11,0.764,0.0,0.039,0.197,1.0,0.0,1.0,1.0
2024-01-05,12,0.213,0.0,0.511,0.275,2.0,0.0,1.0,2.0
2024-01-05,13,0.377,0.0,0.23,0.393,1.0,0.0,2.0,1.0
2024-01-05,14,0.049,0.0,0.125,0.826,1.0,0.0,1.0,1.0
2024-01-05,15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-05,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-05,17,0.941,0.0,0.0,0.059,1.0,0.0,0.0,1.0
2024-01-05,18,0.236,0.0,0.079,0.685,1.0,0.0,1.0,2.0
2024-01-05,19,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0
2024-01-05,20,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0
2024-01-05,21,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2024-01-05,22,0.0,0.0,0.613,0.387,0.0,0.0,1.0,1.0
2024-01-05,23,0.0,0.0,0.134,0.866,0.0,0.0,2.0,3.0
2024-01-06,0,0.134,0.0,0.59,0.275,1.0,0.0,1.0,2.0
2024-01-06,1,0.803,0.0,0.118,0.079,3.0,0.0,1.0,1.0
2024-01-06,2,0.046,0.0,0.246,0.708,1.0,0.0,1.0,1.0
2024-01-06,3,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0
2024-01-06,4,0.0,0.0,0.328,0.672,0.0,0.0,1.0,1.0
2024-01-06,5,0.02,0.0,0.472,0.508,1.0,0.0,1.0,1.0
2024-01-06,6,0.334,0.039,0.626,0.0,4.0,1.0,4.0,0.0
2024-01-06,7,0.446,0.039,0.475,0.039,2.0,1.0,1.0,1.0
2024-01-06,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-06,9,0.803,0.0,0.079,0.118,2.0,0.0,1.0,1.0
2024-01-06,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-06,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-06,12,0.511,0.118,0.157,0.213,5.0,2.0,2.0,1.0
2024-01-06,13,0.275,0.157,0.079,0.489,3.0,2.0,1.0,2.0
2024-01-06,14,0.0,0.0,0.236,0.764,0.0,0.0,2.0,3.0
2024-01-06,15,0.892,0.079,0.0,0.03,2.0,1.0,0.0,1.0
2024-01-06,16,0.646,0.0,0.039,0.315,2.0,0.0,1.0,1.0
2024-01-06,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-06,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-06,19,0.003,0.0,0.092,0.905,1.0,0.0,1.0,1.0
2024-01-06,20,0.0,0.0,0.302,0.698,0.0,0.0,1.0,1.0
2024-01-06,21,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0
2024-01-06,22,0.81,0.0,0.079,0.111,1.0,0.0,1.0,1.0
2024-01-06,23,0.292,0.0,0.0,0.708,1.0,0.0,0.0,2.0
2024-01-07,0,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0
2024-01-07,1,0.151,0.0,0.354,0.495,1.0,0.0,1.0,1.0
2024-01-07,2,0.518,0.0,0.0,0.482,1.0,0.0,0.0,1.0
2024-01-07,3,0.0,0.0,0.184,0.816,0.0,0.0,1.0,1.0
2024-01-07,4,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0
2024-01-07,5,0.02,0.0,0.469,0.511,1.0,0.0,2.0,1.0
2024-01-07,6,0.059,0.079,0.666,0.197,1.0,1.0,3.0,2.0
2024-01-07,7,0.643,0.039,0.318,0.0,2.0,1.0,1.0,0.0
2024-01-07,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024-01-07,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
