Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,distancia,nivel_estres
2024-01-02,0,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.2661679783635705,0.04727503360100681,Normal
2024-01-02,1,0.0,0.0,0.623,0.377,0.0,0.0,2.0,3.0,-0.2668956831717268,0.012971071437311377,Normal
2024-01-02,2,0.0,0.0,0.567,0.433,0.0,0.0,5.0,4.0,-0.2673751122218062,0.013585763588362566,Normal
2024-01-02,3,0.0,0.0,0.698,0.302,0.0,0.0,1.0,1.0,-0.2662535906939418,0.04658522834027649,Normal
2024-01-02,4,0.0,0.0,0.908,0.092,0.0,0.0,1.0,1.0,-0.2644557317561438,0.17363500973845447,Leve
2024-01-02,5,0.197,0.0,0.449,0.354,1.0,0.0,3.0,1.0,-0.1632995497390731,0.1677629454059546,Leve
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2636680983167275,0.1501598212782111,Normal
2024-01-02,7,0.8,0.039,0.161,0.0,2.0,1.0,1.0,0.0,0.1874451277283102,0.10892293316120599,Normal
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.08070342830554181,Normal
2024-01-02,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.08141383280630086,Normal
2024-01-02,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.10261161992105416,Normal
2024-01-02,11,0.174,0.0,0.197,0.63,1.0,0.0,1.0,1.0,-0.1779981089001787,0.10455732263803766,Normal
2024-01-02,12,0.725,0.0,0.118,0.157,1.0,0.0,1.0,1.0,0.1155179311308573,0.06987481764045327,Normal
2024-01-02,13,0.456,0.354,0.19,0.0,2.0,2.0,1.0,0.0,0.2590346787243583,0.135541507601476,Normal
2024-01-02,14,0.157,0.403,0.125,0.315,1.0,2.0,3.0,3.0,0.1386244951055162,0.14294365926960895,Normal
2024-01-02,15,0.498,0.423,0.079,0.0,1.0,2.0,1.0,0.0,0.3363108453625082,0.11084687462743145,Normal
2024-01-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.11425691343946692,Normal
2024-01-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.1106030970126853,Normal
2024-01-02,18,0.334,0.354,0.197,0.115,1.0,1.0,1.0,1.0,0.194016099062745,0.09640128653202727,Normal
2024-01-02,19,0.118,0.079,0.367,0.436,2.0,2.0,4.0,3.0,-0.1422299842427956,0.08910480454222605,Normal
2024-01-02,20,0.0,0.079,0.38,0.541,0.0,1.0,3.0,2.0,-0.2050634749228132,0.1611657176359267,Normal
2024-01-02,21,0.0,0.0,0.479,0.521,0.0,0.0,1.0,1.0,-0.268128500729074,0.1710624354988521,Leve
2024-01-02,22,0.102,0.0,0.387,0.511,1.0,0.0,1.0,1.0,-0.2145062337924815,0.19242922927988718,Leve
2024-01-02,23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2612010644893618,0.25224736072748793,Alto
2024-01-03,0,0.748,0.0,0.118,0.134,1.0,0.0,1.0,1.0,0.1277868302352514,0.11869690375148906,Normal
2024-01-03,1,0.118,0.0,0.308,0.574,2.0,0.0,2.0,2.0,-0.2066476848689235,0.07204652824893533,Normal
2024-01-03,2,0.0,0.0,0.518,0.482,0.0,0.0,1.0,1.0,-0.2677946126406257,0.031389761759650796,Normal
2024-01-03,3,0.0,0.0,0.144,0.856,0.0,0.0,2.0,2.0,-0.2709965137965137,0.06965122244319735,Normal
2024-01-03,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2636680983167275,0.09646898508093185,Normal
2024-01-03,5,0.079,0.079,0.292,0.551,1.0,1.0,2.0,1.0,-0.1639480914898202,0.07779634868357499,Normal
2024-01-03,6,0.0,0.0,0.728,0.272,0.0,0.0,2.0,2.0,-0.2659967537028278,0.0605265665031873,Normal
2024-01-03,7,0.407,0.0,0.551,0.043,1.0,0.0,1.0,1.0,-0.0506781501735626,0.05310704450669831,Normal
2024-01-03,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2612010644893618,0.07275571118331815,Normal
2024-01-03,9,0.993,0.0,0.007,0.0,1.0,0.0,1.0,0.0,0.2575269803497192,0.06542239207810556,Normal
2024-01-03,10,0.849,0.0,0.151,0.0,1.0,0.0,1.0,0.0,0.1819458209056423,0.09349749270729986,Normal
