Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,distancia,nivel_estres
2024-01-02,0,0.0,0.0,0.567,0.433,0.0,0.0,3.0,2.0,-0.2718076797970998,0.07027522001058971,normal
2024-01-02,1,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.3010578198920806,0.09101989783253073,normal
2024-01-02,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5884404463252663,0.08761901978794405,normal
2024-01-02,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5884404463252663,0.1370010990351027,normal
2024-01-02,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5884404463252663,0.17275491288822692,normal
2024-01-02,5,0.157,0.039,0.803,0.0,2.0,1.0,2.0,0.0,-0.4161731709831265,0.17489472853012494,normal
2024-01-02,6,0.0,0.0,0.921,0.079,0.0,0.0,2.0,1.0,-0.5306714196376794,0.14814311112830425,normal
2024-01-02,7,0.8,0.0,0.2,0.0,1.0,0.0,1.0,0.0,0.1738860576405285,0.11016831675347385,normal
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3644676836319772,0.14985880284006245,normal
2024-01-02,9,0.567,0.0,0.275,0.157,2.0,0.0,1.0,1.0,0.0672537036796153,0.1533630010643849,normal
2024-01-02,10,0.898,0.0,0.0,0.102,1.0,0.0,0.0,1.0,0.3418589116185392,0.17458580795061787,normal
2024-01-02,11,0.472,0.0,0.039,0.489,1.0,0.0,1.0,2.0,0.2189151536756919,0.19071454245134176,normal
2024-01-02,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3644676836319772,0.15634592553278145,normal
2024-01-02,13,0.692,0.118,0.19,0.0,2.0,1.0,2.0,0.0,0.1377547104286902,0.15691297977791582,normal
2024-01-02,14,0.039,0.0,0.479,0.482,1.0,0.0,2.0,2.0,-0.198812841112416,0.17993086215401827,normal
