Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,Nivel_estres
2024-07-02,0,0.0,0.0,0.472,0.528,0.0,0.0,1.0,1.0,-0.2112708470859846,normal
2024-07-02,1,0.0,0.0,0.23,0.77,0.0,0.0,1.0,1.0,-0.0434189375611349,normal
2024-07-02,2,0.0,0.0,0.833,0.167,0.0,0.0,1.0,1.0,-0.4616615055094177,normal
2024-07-02,3,0.0,0.0,0.616,0.384,0.0,0.0,1.0,1.0,-0.3111496692825896,normal
2024-07-02,4,0.082,0.0,0.761,0.157,1.0,0.0,1.0,1.0,-0.3947581612896724,normal
2024-07-02,5,0.43,0.0,0.531,0.039,3.0,0.0,3.0,1.0,-0.1632362097983351,normal
2024-07-02,6,0.0,0.0,0.331,0.669,0.0,0.0,2.0,1.0,-0.1134728336851425,normal
2024-07-02,7,0.643,0.236,0.121,0.0,3.0,3.0,1.0,0.0,0.1898843680895063,normal
2024-07-02,8,0.921,0.039,0.039,0.0,3.0,1.0,1.0,0.0,0.2835552753133674,normal
2024-07-02,9,0.561,0.0,0.157,0.282,1.0,0.0,1.0,1.0,0.1232722042877399,normal
2024-07-02,10,0.0,0.0,0.495,0.505,0.0,0.0,1.0,1.0,-0.2272237145201646,normal
2024-07-02,11,0.0,0.0,0.685,0.315,0.0,0.0,1.0,1.0,-0.3590082715851294,normal
2024-07-02,12,0.567,0.0,0.0,0.433,1.0,0.0,0.0,1.0,0.233409127998446,normal
2024-07-02,13,0.416,0.039,0.544,0.0,3.0,1.0,2.0,0.0,-0.1711872080667757,normal
2024-07-02,14,0.275,0.0,0.37,0.354,2.0,0.0,4.0,2.0,-0.0837482186400469,normal
2024-07-02,15,0.223,0.039,0.266,0.472,2.0,1.0,1.0,1.0,-0.0181767892613411,normal
2024-07-02,16,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.3149047002647521,normal
2024-07-02,17,0.685,0.315,0.0,0.0,2.0,1.0,0.0,0.0,0.2907601983634792,normal
2024-07-02,18,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3229869699689917,normal
2024-07-02,19,0.397,0.0,0.603,0.0,1.0,0.0,1.0,0.0,-0.2200025695918523,normal
2024-07-02,20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5774931951402025,normal
2024-07-02,21,0.793,0.0,0.207,0.0,1.0,0.0,1.0,0.0,0.1365875757913885,normal
2024-07-02,22,0.685,0.0,0.079,0.236,2.0,0.0,1.0,1.0,0.2030260098929201,normal
2024-07-02,23,0.37,0.0,0.039,0.59,2.0,0.0,2.0,1.0,0.165487688978651,normal
2024-07-03,0,0.0,0.0,0.174,0.826,0.0,0.0,2.0,1.0,-0.0045771733735663,normal
2024-07-03,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5774931951402025,normal
2024-07-03,2,0.0,0.0,0.479,0.521,0.0,0.0,1.0,1.0,-0.2161260676094308,normal
2024-07-03,3,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.3749611390193093,normal
2024-07-03,4,0.0,0.0,0.515,0.485,0.0,0.0,2.0,1.0,-0.241095773158582,normal
2024-07-03,5,0.059,0.0,0.548,0.393,1.0,0.0,1.0,1.0,-0.2517789131538593,normal
2024-07-03,6,0.803,0.0,0.197,0.0,2.0,0.0,1.0,0.0,0.1455923774424804,normal
2024-07-03,7,0.685,0.0,0.315,0.0,2.0,0.0,1.0,0.0,0.0393357179595955,normal
2024-07-03,8,0.774,0.0,0.079,0.148,1.0,0.0,1.0,1.0,0.2215541933834619,normal
2024-07-03,9,0.754,0.0,0.0,0.246,1.0,0.0,0.0,1.0,0.2720951706046632,normal
2024-07-03,10,0.78,0.0,0.22,0.0,2.0,0.0,2.0,0.0,0.124881333644969,normal
2024-07-03,11,0.551,0.0,0.174,0.275,1.0,0.0,2.0,1.0,0.1094121821132019,alerta
2024-07-03,12,0.095,0.0,0.275,0.63,1.0,0.0,1.0,1.0,-0.0549777323446828,normal
2024-07-03,13,0.928,0.0,0.072,0.0,1.0,0.0,1.0,0.0,0.2581523980811298,normal
2024-07-03,14,0.157,0.0,0.095,0.748,1.0,0.0,2.0,1.0,0.0826971838587495,normal
2024-07-03,15,0.774,0.118,0.108,0.0,1.0,1.0,1.0,0.0,0.2136628611865623,normal
2024-07-03,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3229869699689917,normal
2024-07-03,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3229869699689917,normal
2024-07-03,18,0.138,0.039,0.197,0.626,1.0,1.0,2.0,1.0,0.0120972482201908,normal
2024-07-03,19,0.0,0.0,0.485,0.515,0.0,0.0,4.0,4.0,-0.2202876852009559,normal
2024-07-03,20,0.079,0.197,0.656,0.069,2.0,2.0,2.0,1.0,-0.3018340811175413,normal
2024-07-03,21,0.0,0.0,0.597,0.403,0.0,0.0,1.0,1.0,-0.2979712135760931,normal
2024-07-03,22,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0,-0.2501126112735533,normal
2024-07-03,23,0.0,0.0,0.921,0.079,0.0,0.0,2.0,1.0,-0.522698563518454,alerta
2024-07-04,0,0.236,0.0,0.551,0.213,1.0,0.0,2.0,2.0,-0.217242451675288,normal
2024-07-04,1,0.0,0.0,0.623,0.377,0.0,0.0,1.0,1.0,-0.3160048898060356,normal
2024-07-04,2,0.0,0.0,0.518,0.482,0.0,0.0,1.0,1.0,-0.2431765819543446,normal
2024-07-04,3,0.0,0.0,0.892,0.108,0.0,0.0,1.0,1.0,-0.5025840784927489,normal
