Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,Nivel_estres
2024-07-02,0,0.0,0.0,0.764,0.236,0.0,0.0,2.0,1.0,-0.047467554211444,normal
2024-07-02,1,0.0,0.0,0.37,0.63,0.0,0.0,2.0,1.0,-0.3296604170796038,normal
2024-07-02,2,0.0,0.0,0.911,0.089,0.0,0.0,1.0,1.0,0.0578176002089099,normal
2024-07-02,3,0.0,0.0,0.656,0.344,0.0,0.0,1.0,1.0,-0.1248199125610919,normal
2024-07-02,4,0.079,0.0,0.292,0.63,1.0,0.0,3.0,1.0,-0.3139259255048118,normal
2024-07-02,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,normal
2024-07-02,6,0.075,0.0,0.492,0.433,1.0,0.0,2.0,1.0,-0.1737415838403036,normal
2024-07-02,7,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3134677554767112,alerta
2024-07-02,8,0.105,0.0,0.63,0.266,1.0,0.0,1.0,1.0,-0.0480813962190777,alerta
2024-07-02,9,0.0,0.0,0.479,0.521,0.0,0.0,1.0,1.0,-0.2515918331896815,alerta
2024-07-02,10,0.062,0.0,0.938,0.0,1.0,0.0,1.0,0.0,0.1338148587856575,alerta
2024-07-02,11,0.449,0.0,0.551,0.0,1.0,0.0,1.0,0.0,0.2102984521005944,normal
2024-07-02,12,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.131982167963837,normal
2024-07-02,13,0.354,0.0,0.646,0.0,2.0,0.0,3.0,0.0,0.1915234098139819,normal
2024-07-02,14,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.1599149640345432,normal
2024-07-02,15,0.223,0.197,0.58,0.0,1.0,2.0,2.0,0.0,0.1756437759259519,normal
2024-07-02,16,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.3075949945677521,normal
2024-07-02,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-07-02,18,0.807,0.193,0.0,0.0,4.0,4.0,0.0,0.0,0.2908576259772184,normal
2024-07-02,19,0.079,0.161,0.315,0.446,1.0,2.0,1.0,1.0,-0.1739595328776549,alerta
2024-07-02,20,0.0,0.0,0.62,0.38,0.0,0.0,1.0,1.0,-0.1506040320109745,alerta
2024-07-02,21,0.4,0.039,0.285,0.275,2.0,1.0,2.0,1.0,0.0055126047248775,alerta
2024-07-02,22,0.859,0.0,0.039,0.102,1.0,0.0,1.0,1.0,0.2182725768611314,alerta
2024-07-02,23,0.0,0.0,0.315,0.685,0.0,0.0,2.0,1.0,-0.3690528217947023,normal
2024-07-03,0,0.174,0.0,0.118,0.708,1.0,0.0,1.0,1.0,-0.351138037032905,normal
2024-07-03,1,0.18,0.0,0.354,0.466,3.0,0.0,3.0,1.0,-0.1766256641420542,normal
2024-07-03,2,0.0,0.0,0.443,0.557,0.0,0.0,1.0,1.0,-0.2773759526395641,normal
2024-07-03,3,0.0,0.0,0.344,0.656,0.0,0.0,1.0,1.0,-0.3482822811267413,normal
2024-07-03,4,0.118,0.0,0.83,0.052,1.0,0.0,2.0,1.0,0.1076385240392804,normal
2024-07-03,5,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.4141750308319968,normal
2024-07-03,6,0.118,0.0,0.882,0.0,1.0,0.0,2.0,0.0,0.1448822521335553,normal
2024-07-03,7,0.079,0.0,0.921,0.0,1.0,0.0,2.0,0.0,0.1371746031948408,normal
2024-07-03,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,normal
2024-07-03,9,0.157,0.203,0.639,0.0,1.0,2.0,1.0,0.0,0.1627833786721385,normal
2024-07-03,10,0.77,0.23,0.0,0.0,2.0,2.0,0.0,0.0,0.2854253221364312,normal
2024-07-03,11,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-07-03,12,0.472,0.0,0.118,0.41,1.0,0.0,1.0,1.0,-0.0788084828583567,normal
2024-07-03,13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5946638669811752,normal
2024-07-03,14,0.679,0.0,0.236,0.085,2.0,0.0,2.0,1.0,0.1948746467132694,normal
2024-07-03,15,0.03,0.0,0.38,0.59,1.0,0.0,2.0,1.0,-0.295082434746535,normal
2024-07-03,16,0.0,0.0,0.603,0.397,0.0,0.0,1.0,1.0,-0.1627798661956413,normal
2024-07-03,17,0.236,0.039,0.413,0.311,3.0,1.0,3.0,1.0,-0.0526831666724201,normal
2024-07-03,18,0.59,0.0,0.41,0.0,1.0,0.0,2.0,0.0,0.2381645674944086,normal
2024-07-03,19,0.079,0.0,0.279,0.643,1.0,0.0,2.0,1.0,-0.3232368575283805,normal
2024-07-03,20,0.0,0.0,0.777,0.223,0.0,0.0,1.0,1.0,-0.0381566221878753,normal
2024-07-03,21,0.0,0.0,0.128,0.872,0.0,0.0,1.0,1.0,-0.5029869978260371,normal
2024-07-03,22,0.0,0.0,0.849,0.151,0.0,0.0,1.0,1.0,0.0134116167118899,normal
2024-07-03,23,0.0,0.0,0.528,0.472,0.0,0.0,3.0,1.0,-0.2164967817162301,normal
2024-07-04,0,0.0,0.0,0.708,0.292,0.0,0.0,1.0,1.0,-0.087576184466817,normal
2024-07-04,1,0.348,0.0,0.0,0.652,1.0,0.0,0.0,1.0,-0.2766414345894209,normal
2024-07-04,2,0.046,0.0,0.954,0.0,1.0,0.0,1.0,0.0,0.1306527464005438,alerta
2024-07-04,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,alerta
2024-07-04,4,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1885639856455239,alerta
2024-07-04,5,0.0,0.0,0.705,0.295,0.0,0.0,1.0,1.0,-0.0897248610876405,alerta
2024-07-04,6,0.0,0.0,0.784,0.216,0.0,0.0,1.0,1.0,-0.0331430434059537,alerta
2024-07-04,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,normal
2024-07-04,8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,normal
2024-07-04,9,0.951,0.0,0.049,0.0,1.0,0.0,1.0,0.0,0.3095097281835358,normal
2024-07-04,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-07-04,11,0.803,0.0,0.118,0.079,1.0,0.0,1.0,1.0,0.2236783709395475,normal
2024-07-04,12,0.607,0.0,0.0,0.393,1.0,0.0,0.0,1.0,-0.0399523254242934,normal
2024-07-04,13,0.528,0.0,0.354,0.118,3.0,0.0,2.0,1.0,0.1413967682497001,normal
2024-07-04,14,0.203,0.0,0.236,0.561,2.0,0.0,2.0,1.0,-0.2401215539145325,alerta
2024-07-04,15,0.498,0.0,0.197,0.305,1.0,0.0,1.0,1.0,0.0015336314962772,alerta
2024-07-04,16,0.013,0.0,0.354,0.633,1.0,0.0,1.0,1.0,-0.3292398773875225,alerta
