Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-01,0,0.118,0.0,0.826,0.056,1.0,0.0,1.0,1.0,-0.4438938169651156
2024-01-01,1,0.0,0.0,0.466,0.534,0.0,0.0,1.0,1.0,-0.21406824909624655
2024-01-01,2,0.0,0.0,0.675,0.325,0.0,0.0,1.0,1.0,-0.3634229343246345
2024-01-01,3,0.0,0.0,0.774,0.226,0.0,0.0,1.0,1.0,-0.43416989048544985
2024-01-01,4,0.0,0.0,0.839,0.161,0.0,0.0,1.0,1.0,-0.48061991220719724
2024-01-01,5,0.118,0.0,0.689,0.193,1.0,0.0,2.0,2.0,-0.34599146349004795
2024-01-01,6,0.075,0.0,0.61,0.315,1.0,0.0,2.0,1.0,-0.29953471923568437
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3514519207587783
2024-01-01,8,0.921,0.079,0.0,0.0,2.0,1.0,0.0,0.0,0.330532382423157
2024-01-01,9,0.875,0.079,0.0,0.046,2.0,1.0,0.0,1.0,0.3198369571579394
2024-01-01,10,0.63,0.0,0.0,0.37,1.0,0.0,0.0,2.0,0.26542350014724514
2024-01-01,11,0.315,0.0,0.039,0.646,1.0,0.0,1.0,1.0,0.16431307497194553
2024-01-01,12,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.34112455373233236
2024-01-01,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3514519207587783
2024-01-01,14,0.282,0.079,0.01,0.63,3.0,1.0,1.0,1.0,0.17493176042249198
2024-01-01,15,0.0,0.0,0.423,0.577,0.0,0.0,1.0,1.0,-0.18333977318801364
2024-01-01,16,0.475,0.0,0.472,0.052,1.0,0.0,1.0,1.0,-0.10803299475926915
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3514519207587783
2024-01-01,18,0.57,0.0,0.197,0.233,1.0,0.0,2.0,1.0,0.11069364885064846
2024-01-01,19,0.0,0.0,0.485,0.515,0.0,0.0,1.0,1.0,-0.22764594775337274
2024-01-01,20,0.0,0.0,0.302,0.698,0.0,0.0,1.0,1.0,-0.09687127121368379
2024-01-01,21,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.3870052530449063
2024-01-01,22,0.0,0.0,0.416,0.584,0.0,0.0,1.0,1.0,-0.17833746315644083
2024-01-01,23,0.0,0.0,0.528,0.472,0.0,0.0,1.0,1.0,-0.2583744236616057
2024-01-02,0,0.252,0.0,0.63,0.118,1.0,0.0,1.0,1.0,-0.27267289726500843
2024-01-02,1,0.18,0.0,0.387,0.433,2.0,0.0,2.0,1.0,-0.11576194323006715
2024-01-02,2,0.0,0.0,0.872,0.128,0.0,0.0,1.0,1.0,-0.5042022309274691
2024-01-02,3,0.0,0.0,0.42,0.58,0.0,0.0,1.0,1.0,-0.18119592603162527
2024-01-02,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5956730429333718
2024-01-02,5,0.275,0.0,0.725,0.0,1.0,0.0,2.0,0.0,-0.3352136779180305
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5956730429333718
2024-01-02,7,0.944,0.013,0.043,0.0,1.0,1.0,1.0,0.0,0.3072830916445338
