Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-01,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.042129750375755726
2024-01-01,1,0.669,0.039,0.292,0.0,2.0,1.0,2.0,0.0,0.22864051987879777
2024-01-01,2,0.0,0.0,0.095,0.905,0.0,0.0,2.0,1.0,-0.442002486129505
2024-01-01,3,0.0,0.0,0.502,0.498,0.0,0.0,1.0,1.0,-0.22427671788901754
2024-01-01,4,0.0,0.0,0.948,0.052,0.0,0.0,1.0,1.0,0.01431220750473522
2024-01-01,5,0.079,0.0,0.587,0.334,1.0,0.0,2.0,1.0,-0.11619987087438824
2024-01-01,6,0.154,0.0,0.669,0.177,1.0,0.0,1.0,1.0,-0.012897799240315796
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29965628735563954
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29965628735563954
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29965628735563954
2024-01-01,10,0.308,0.0,0.118,0.574,1.0,0.0,1.0,1.0,-0.18561495331070482
2024-01-01,11,0.511,0.0,0.275,0.213,1.0,0.0,2.0,2.0,0.059738745800420476
2024-01-01,12,0.803,0.0,0.0,0.197,1.0,0.0,0.0,1.0,0.1435378683092363
2024-01-01,13,0.141,0.0,0.079,0.78,1.0,0.0,1.0,1.0,-0.3388221509753882
2024-01-01,14,0.157,0.079,0.482,0.282,2.0,1.0,2.0,2.0,-0.039479468764668
2024-01-01,15,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.25262921350755774
2024-01-01,16,0.436,0.039,0.525,0.0,2.0,1.0,1.0,0.0,0.16863683676248484
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29965628735563954
2024-01-01,18,0.57,0.079,0.311,0.039,3.0,2.0,3.0,1.0,0.1968303789049171
2024-01-01,19,0.039,0.0,0.331,0.63,1.0,0.0,2.0,2.0,-0.2848469456193926
2024-01-01,20,0.0,0.0,0.498,0.502,0.0,0.0,1.0,1.0,-0.22641652887909608
2024-01-01,21,0.0,0.0,0.669,0.331,0.0,0.0,1.0,2.0,-0.13493960905324018
2024-01-01,22,0.0,0.0,0.393,0.607,0.0,0.0,1.0,2.0,-0.28258656736865667
2024-01-01,23,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0,-0.3034497245219221
