Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-03,6,0.0,0.0,0.531,0.469,0.0,0.0,2.0,2.0,-0.2528967080282141
2024-01-03,7,0.407,0.0,0.157,0.436,1.0,0.0,2.0,3.0,0.06842970358145425
2024-01-03,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-03,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-03,10,0.741,0.039,0.039,0.18,2.0,1.0,1.0,1.0,0.19902607028651792
2024-01-03,11,0.472,0.0,0.0,0.528,1.0,0.0,0.0,1.0,0.19060109639052075
2024-01-03,12,0.315,0.157,0.079,0.449,1.0,1.0,1.0,1.0,0.13291415752195518
2024-01-03,13,0.433,0.118,0.275,0.174,2.0,2.0,2.0,2.0,-0.00033069925365979136
2024-01-03,14,0.0,0.0,0.639,0.361,0.0,0.0,2.0,2.0,-0.3315663974069672
2024-01-03,15,0.774,0.039,0.069,0.118,2.0,1.0,1.0,1.0,0.18127183074950576
2024-01-03,16,0.331,0.669,0.0,0.0,2.0,1.0,0.0,0.0,0.25343096415206
2024-01-03,17,0.075,0.925,0.0,0.0,1.0,2.0,0.0,0.0,0.25320020879453475
2024-01-03,18,0.0,0.807,0.039,0.154,0.0,1.0,1.0,1.0,0.20171142780272464
2024-01-03,19,0.0,0.0,0.157,0.843,0.0,0.0,2.0,3.0,0.019533512598208555
2024-01-03,20,0.0,0.0,0.433,0.567,0.0,0.0,1.0,2.0,-0.1815112491474937
2024-01-03,21,0.0,0.0,0.354,0.646,0.0,0.0,1.0,2.0,-0.12396582821303545
2024-01-03,22,0.0,0.0,0.315,0.685,0.0,0.0,1.0,2.0,-0.09555732927070797
2024-01-03,23,0.0,0.0,0.079,0.921,0.0,0.0,3.0,2.0,0.07635051048286357
2024-01-04,0,0.37,0.0,0.63,0.0,2.0,0.0,2.0,0.0,-0.2805595072466962
2024-01-04,1,0.18,0.0,0.033,0.787,1.0,0.0,1.0,1.0,0.1314828218229152
2024-01-04,2,0.0,0.0,0.607,0.393,0.0,0.0,2.0,1.0,-0.30825685981326256
2024-01-04,3,0.616,0.0,0.187,0.197,1.0,0.0,2.0,1.0,0.07168586691659046
2024-01-04,4,0.013,0.0,0.275,0.711,1.0,0.0,2.0,2.0,-0.06499250841200387
2024-01-04,5,0.079,0.039,0.689,0.193,1.0,1.0,2.0,2.0,-0.3538464127903288
2024-01-04,6,0.0,0.0,0.295,0.705,0.0,0.0,4.0,4.0,-0.08098886827464256
2024-01-04,7,0.603,0.039,0.236,0.121,1.0,1.0,1.0,2.0,0.03894767700429625
2024-01-04,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-04,9,0.961,0.0,0.039,0.0,2.0,0.0,1.0,0.0,0.2209401094649184
2024-01-04,10,0.623,0.0,0.315,0.062,1.0,0.0,1.0,1.0,-0.020711317028540722
2024-01-04,11,0.0,0.0,0.59,0.41,0.0,0.0,2.0,3.0,-0.2958736679666069
2024-01-04,12,0.0,0.0,0.393,0.607,0.0,0.0,2.0,3.0,-0.15237432715536298
2024-01-04,13,0.157,0.0,0.472,0.37,1.0,0.0,2.0,4.0,-0.19119196838396682
2024-01-04,14,0.0,0.0,0.197,0.803,0.0,0.0,1.0,2.0,-0.009603409393922208
2024-01-04,15,0.42,0.079,0.118,0.384,1.0,1.0,1.0,2.0,0.1079535904414062
2024-01-04,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25403399280121786
2024-01-04,17,0.744,0.0,0.197,0.059,2.0,0.0,2.0,2.0,0.07977930827569645
2024-01-04,18,0.0,0.0,0.311,0.689,0.0,0.0,5.0,5.0,-0.09264363707149488
2024-01-04,19,0.0,0.0,0.593,0.407,0.0,0.0,3.0,3.0,-0.2980589371160167
2024-01-04,20,0.0,0.0,0.511,0.489,0.0,0.0,1.0,2.0,-0.23832824703214872
2024-01-04,21,0.0,0.0,0.282,0.718,0.0,0.0,1.0,1.0,-0.07151936862720007
