Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad
2024-01-01,0,0.0,0.0,0.63,0.37,0.0,0.0,1.0,1.0,-0.26529425719793287
2024-01-01,1,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2716443747718621
2024-01-01,2,0.433,0.0,0.403,0.164,1.0,0.0,1.0,1.0,-0.11190398284139086
2024-01-01,3,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.2627542101683611
2024-01-01,4,0.0,0.0,0.525,0.475,0.0,0.0,1.0,1.0,-0.28196331582949724
2024-01-01,5,0.197,0.0,0.649,0.154,2.0,0.0,2.0,1.0,-0.17609514132040335
2024-01-01,6,0.036,0.0,0.964,0.0,1.0,0.0,1.0,0.0,-0.19652163250599455
2024-01-01,7,0.948,0.0,0.052,0.0,1.0,0.0,1.0,0.0,0.05767397486568041
2024-01-01,8,0.069,0.0,0.931,0.0,1.0,0.0,1.0,0.0,-0.18732376513399318
2024-01-01,9,0.961,0.0,0.039,0.0,2.0,0.0,1.0,0.0,0.06129737716374156
2024-01-01,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07216758405792503
2024-01-01,11,0.41,0.039,0.197,0.354,2.0,1.0,2.0,1.0,-0.11840595353897539
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07216758405792503
2024-01-01,13,0.18,0.787,0.033,0.0,1.0,1.0,1.0,0.0,0.4504464569728295
2024-01-01,14,0.207,0.0,0.518,0.275,2.0,0.0,2.0,1.0,-0.1925170144445693
2024-01-01,15,0.108,0.0,0.38,0.511,2.0,0.0,3.0,1.0,-0.2573697545771172
2024-01-01,16,0.279,0.118,0.328,0.275,1.0,1.0,1.0,1.0,-0.0814627025269466
2024-01-01,17,0.508,0.492,0.0,0.0,2.0,2.0,0.0,0.0,0.3144020900568547
2024-01-01,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5645141409663187
2024-01-01,19,0.157,0.161,0.446,0.236,1.0,2.0,4.0,4.0,-0.07611957298736856
2024-01-01,20,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0,-0.2814870570114525
2024-01-01,21,0.833,0.0,0.167,0.0,1.0,0.0,1.0,0.0,0.02562080069052402
2024-01-01,22,0.23,0.0,0.118,0.652,1.0,0.0,1.0,1.0,-0.24595623774382153
2024-01-01,23,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0,-0.26529425719793287
2024-01-02,0,0.528,0.0,0.0,0.472,1.0,0.0,0.0,1.0,-0.13432117905943014
2024-01-02,1,0.613,0.0,0.157,0.23,1.0,0.0,1.0,1.0,-0.072211491172912
2024-01-02,2,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2778357394064432
2024-01-02,3,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2903772216149535
2024-01-02,4,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2716443747718621
2024-01-02,5,0.039,0.157,0.413,0.39,1.0,2.0,2.0,1.0,-0.13633459315602625
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.206555669639087
2024-01-02,7,0.643,0.197,0.161,0.0,1.0,1.0,1.0,0.0,0.12435757950771759
2024-01-02,8,0.656,0.305,0.039,0.0,1.0,2.0,1.0,0.0,0.21146307702080164
2024-01-02,9,0.0,0.561,0.118,0.321,0.0,1.0,1.0,1.0,0.17505480057976314
2024-01-02,10,0.416,0.0,0.118,0.466,1.0,0.0,1.0,1.0,-0.16458566583740614
