Fecha,Class,Ancho,H.N,H
2024-01-02,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period eating,99,3.895081967213115,0 days 03:53:42.295000
2024-01-02,period resting,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period rumination,20,0.7868852459016394,0 days 00:47:12.787000
2024-01-02,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-02,period eating,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-02,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period eating,8,0.31475409836065577,0 days 00:18:53.115000
2024-01-02,period other,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-02,period resting,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period rumination,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period rumination,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-02,period eating,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-02,period other,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period other,10,0.3934426229508197,0 days 00:23:36.393000
2024-01-02,period eating,72,2.832786885245902,0 days 02:49:58.033000
2024-01-02,period other,9,0.35409836065573774,0 days 00:21:14.754000
2024-01-02,period resting,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period rumination,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period resting,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period rumination,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-02,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period rumination,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period other,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period resting,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-02,period rumination,12,0.4721311475409836,0 days 00:28:19.672000
2024-01-02,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-02,period rumination,15,0.5901639344262296,0 days 00:35:24.590000
2024-01-02,period resting,22,0.8655737704918034,0 days 00:51:56.066000
2024-01-02,period rumination,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-02,period eating,28,1.1016393442622952,0 days 01:06:05.902000
2024-01-03,period eating,19,0.7475409836065574,0 days 00:44:51.148000
2024-01-03,period resting,3,0.1180327868852459,0 days 00:07:04.918000
2024-01-03,period rumination,13,0.5114754098360657,0 days 00:30:41.311000
2024-01-03,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-03,period resting,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-03,period rumination,5,0.19672131147540986,0 days 00:11:48.197000
2024-01-03,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-03,period resting,20,0.7868852459016394,0 days 00:47:12.787000
2024-01-03,period rumination,15,0.5901639344262296,0 days 00:35:24.590000
2024-01-03,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-03,period rumination,19,0.7475409836065574,0 days 00:44:51.148000
2024-01-03,period resting,30,1.1803278688524592,0 days 01:10:49.180000
2024-01-03,period rumination,14,0.5508196721311476,0 days 00:33:02.951000
2024-01-03,period other,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-03,period eating,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-03,period resting,21,0.8262295081967214,0 days 00:49:34.426000
2024-01-03,period rumination,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-03,period resting,2,0.07868852459016394,0 days 00:04:43.279000
2024-01-03,period rumination,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-03,period resting,14,0.5508196721311476,0 days 00:33:02.951000
2024-01-03,period eating,61,2.4000000000000004,0 days 02:24:00
2024-01-03,period resting,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-03,period eating,33,1.298360655737705,0 days 01:17:54.098000
2024-01-03,period resting,6,0.2360655737704918,0 days 00:14:09.836000
2024-01-03,period rumination,11,0.4327868852459017,0 days 00:25:58.033000
2024-01-03,period eating,7,0.2754098360655738,0 days 00:16:31.475000
2024-01-03,period other,4,0.15737704918032788,0 days 00:09:26.557000
2024-01-03,period eating,1,0.03934426229508197,0 days 00:02:21.639000
2024-01-03,period other,19,0.7475409836065574,0 days 00:44:51.148000
2024-01-03,period resting,3,0.1180327868852459,0 days 00:07:04.918000
