id,period eating,period other,period resting,period rumination
4160,0.07216758405792503,0.5645141409663187,-0.206555669639087,-0.36530860898731904
1,0.26120106448936187,0.5367907683542021,-0.26366809831672755,-0.27222933135386085
2,0.32298696996899173,0.2206797585229202,-0.5774931951402025,0.11610973678066447
3,0.25403399280121786,0.2531326046858848,-0.5945271183859473,0.1338959314173218
4,0.06542079389021735,0.567442144184721,-0.26964317064269167,-0.3178397288816737
4003,0.29965628735563954,0.40688657764498065,0.042129750375755726,-0.49282299714386935
4173,0.287020212400252,0.5058970659745308,-0.10886800224150311,-0.38708566803747735
468,0.3514519207587783,0.08664763802939562,-0.5956730429333718,0.11894267586274282
4151,0.36446768363197724,-0.02248510036302919,-0.5884404463252663,0.14281305604925182
479,0.3191936973629464,0.17237467463896722,0.12156167329334203,-0.5946638669811752
