Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,nivel_estres
2024-01-01,0,0.433,0.0,0.567,0.0,2.0,0.0,2.0,0.0,0.2071363397154807,normal
2024-01-01,1,0.0,0.0,0.495,0.505,0.0,0.0,1.0,1.0,-0.2401322245452891,normal
2024-01-01,2,0.0,0.0,0.944,0.056,0.0,0.0,1.0,2.0,0.081453043037969,normal
2024-01-01,3,0.0,0.0,0.498,0.502,0.0,0.0,1.0,1.0,-0.2379835479244656,normal
2024-01-01,4,0.0,0.0,0.567,0.433,0.0,0.0,2.0,1.0,-0.1885639856455239,normal
2024-01-01,5,0.079,0.0,0.921,0.0,1.0,0.0,2.0,0.0,0.1371746031948408,normal
2024-01-01,6,0.115,0.0,0.61,0.275,1.0,0.0,2.0,1.0,-0.0526726675141457,normal
2024-01-01,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-01,8,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3134677554767112,normal
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-01,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-01,11,0.134,0.0,0.157,0.708,1.0,0.0,2.0,1.0,-0.3591648796689825,normal
2024-01-01,12,0.174,0.0,0.59,0.236,1.0,0.0,1.0,1.0,-0.0130795820233328,normal
2024-01-01,13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-01,14,0.833,0.157,0.01,0.0,1.0,1.0,1.0,0.0,0.2941667905545856,normal
2024-01-01,15,0.0,0.0,0.187,0.813,0.0,0.0,1.0,1.0,-0.4607296909498404,normal
2024-01-01,16,0.357,0.079,0.433,0.131,2.0,1.0,1.0,1.0,0.1023049872165334,normal
2024-01-01,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-01,18,0.728,0.193,0.079,0.0,1.0,2.0,1.0,0.0,0.2752446960757196,normal
2024-01-01,19,0.0,0.082,0.197,0.721,0.0,2.0,2.0,1.0,-0.3906702751342436,normal
2024-01-01,20,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2000235942899162,normal
2024-01-01,21,0.0,0.0,0.708,0.292,0.0,0.0,1.0,2.0,-0.087576184466817,normal
2024-01-01,22,0.0,0.0,0.377,0.623,0.0,0.0,1.0,1.0,-0.3246468382976822,normal
2024-01-01,23,0.0,0.0,0.41,0.59,0.0,0.0,1.0,1.0,-0.3010113954686231,normal
2024-01-02,0,0.0,0.0,0.725,0.275,0.0,0.0,1.0,1.0,-0.0754003502821502,normal
2024-01-02,1,0.039,0.0,0.692,0.269,1.0,0.0,2.0,1.0,-0.0633953481017885,normal
2024-01-02,2,0.0,0.0,0.718,0.282,0.0,0.0,1.0,1.0,-0.0804139290640718,normal
2024-01-02,3,0.0,0.0,0.449,0.551,0.0,0.0,2.0,1.0,-0.273078599397917,normal
2024-01-02,4,0.0,0.0,0.879,0.121,0.0,0.0,1.0,1.0,0.0348983829201254,normal
2024-01-02,5,0.197,0.0,0.256,0.548,1.0,0.0,2.0,1.0,-0.231874852362088,normal
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.121561673293342,normal
2024-01-02,7,0.957,0.0,0.043,0.0,1.0,0.0,1.0,0.0,0.3106955203279534,normal
2024-01-02,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-02,9,0.921,0.0,0.079,0.0,2.0,0.0,1.0,0.0,0.3035807674614477,normal
2024-01-02,10,0.662,0.0,0.079,0.259,1.0,0.0,1.0,1.0,0.0668916582963201,normal
2024-01-02,11,0.0,0.0,0.315,0.685,0.0,0.0,1.0,1.0,-0.3690528217947023,normal
2024-01-02,12,0.764,0.0,0.236,0.0,1.0,0.0,1.0,0.0,0.2725525396825198,normal
2024-01-02,13,0.613,0.236,0.151,0.0,1.0,1.0,1.0,0.0,0.254701972365577,normal
2024-01-02,14,0.0,0.0,0.243,0.757,0.0,0.0,1.0,1.0,-0.4206210606944675,normal
2024-01-02,15,0.892,0.039,0.0,0.069,2.0,1.0,0.0,1.0,0.2504115835369668,normal
2024-01-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3191936973629464,normal
2024-01-02,17,0.961,0.039,0.0,0.0,2.0,1.0,0.0,0.0,0.3134677554767112,normal
2024-01-02,18,0.374,0.236,0.315,0.075,2.0,1.0,2.0,1.0,0.1537510030923528,normal
2024-01-02,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.5946638669811752,normal
