Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,nivel_actividad,nivel_estres
2024-01-01,0,0.0,0.0,0.63,0.37,0.0,0.0,1.0,1.0,-0.2652942571979328,normal
2024-01-01,1,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2716443747718621,normal
2024-01-01,2,0.433,0.0,0.403,0.164,1.0,0.0,1.0,1.0,-0.1119039828413908,normal
2024-01-01,3,0.0,0.0,0.646,0.354,0.0,0.0,2.0,1.0,-0.2627542101683611,normal
2024-01-01,4,0.0,0.0,0.525,0.475,0.0,0.0,1.0,1.0,-0.2819633158294972,normal
2024-01-01,5,0.197,0.0,0.649,0.154,2.0,0.0,2.0,1.0,-0.1760951413204033,normal
2024-01-01,6,0.036,0.0,0.964,0.0,1.0,0.0,1.0,0.0,-0.1965216325059945,normal
2024-01-01,7,0.948,0.0,0.052,0.0,1.0,0.0,1.0,0.0,0.0576739748656804,normal
2024-01-01,8,0.069,0.0,0.931,0.0,1.0,0.0,1.0,0.0,-0.1873237651339931,normal
2024-01-01,9,0.961,0.0,0.039,0.0,2.0,0.0,1.0,0.0,0.0612973771637415,normal
2024-01-01,10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.072167584057925,normal
2024-01-01,11,0.41,0.039,0.197,0.354,2.0,1.0,2.0,1.0,-0.1184059535389753,normal
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.072167584057925,normal
2024-01-01,13,0.18,0.787,0.033,0.0,1.0,1.0,1.0,0.0,0.4504464569728295,normal
2024-01-01,14,0.207,0.0,0.518,0.275,2.0,0.0,2.0,1.0,-0.1925170144445693,normal
2024-01-01,15,0.108,0.0,0.38,0.511,2.0,0.0,3.0,1.0,-0.2573697545771172,normal
2024-01-01,16,0.279,0.118,0.328,0.275,1.0,1.0,1.0,1.0,-0.0814627025269466,normal
2024-01-01,17,0.508,0.492,0.0,0.0,2.0,2.0,0.0,0.0,0.3144020900568547,normal
2024-01-01,18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5645141409663187,normal
2024-01-01,19,0.157,0.161,0.446,0.236,1.0,2.0,4.0,4.0,-0.0761195729873685,normal
2024-01-01,20,0.0,0.0,0.528,0.472,0.0,0.0,2.0,1.0,-0.2814870570114525,normal
2024-01-01,21,0.833,0.0,0.167,0.0,1.0,0.0,1.0,0.0,0.025620800690524,normal
2024-01-01,22,0.23,0.0,0.118,0.652,1.0,0.0,1.0,1.0,-0.2459562377438215,normal
2024-01-01,23,0.0,0.0,0.63,0.37,0.0,0.0,1.0,2.0,-0.2652942571979328,normal
2024-01-02,0,0.528,0.0,0.0,0.472,1.0,0.0,0.0,1.0,-0.1343211790594301,normal
2024-01-02,1,0.613,0.0,0.157,0.23,1.0,0.0,1.0,1.0,-0.072211491172912,normal
2024-01-02,2,0.0,0.0,0.551,0.449,0.0,0.0,1.0,2.0,-0.2778357394064432,normal
2024-01-02,3,0.0,0.0,0.472,0.528,0.0,0.0,1.0,2.0,-0.2903772216149535,normal
2024-01-02,4,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.2716443747718621,normal
2024-01-02,5,0.039,0.157,0.413,0.39,1.0,2.0,2.0,1.0,-0.1363345931560262,normal
2024-01-02,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.206555669639087,normal
2024-01-02,7,0.643,0.197,0.161,0.0,1.0,1.0,1.0,0.0,0.1243575795077175,normal
2024-01-02,8,0.656,0.305,0.039,0.0,1.0,2.0,1.0,0.0,0.2114630770208016,normal
2024-01-02,9,0.0,0.561,0.118,0.321,0.0,1.0,1.0,1.0,0.1750548005797631,normal
2024-01-02,10,0.416,0.0,0.118,0.466,1.0,0.0,1.0,1.0,-0.1645856658374061,normal
2024-01-02,11,0.882,0.118,0.0,0.0,2.0,1.0,0.0,0.0,0.1302644777731154,normal
2024-01-02,12,0.118,0.157,0.41,0.315,2.0,1.0,2.0,1.0,-0.1026155413324839,normal
2024-01-02,13,0.197,0.118,0.685,0.0,1.0,1.0,2.0,0.0,-0.0606609510093377,normal
2024-01-02,14,0.0,0.0,0.685,0.315,0.0,0.0,3.0,2.0,-0.2565628455337801,normal
2024-01-02,15,0.813,0.079,0.108,0.0,2.0,1.0,1.0,0.0,0.0809608506544108,normal
2024-01-02,16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.072167584057925,normal
2024-01-02,17,0.744,0.256,0.0,0.0,1.0,1.0,0.0,0.0,0.1982083026264738,normal
2024-01-02,18,0.0,0.885,0.115,0.0,0.0,1.0,1.0,0.0,0.475841112746697,normal
2024-01-02,19,0.0,0.0,0.174,0.826,0.0,0.0,2.0,1.0,-0.3376855975407266,normal
2024-01-02,20,0.63,0.0,0.262,0.108,1.0,0.0,2.0,1.0,-0.0481053372595784,normal
2024-01-02,21,0.0,0.0,0.4,0.6,0.0,0.0,1.0,1.0,-0.3018074332480262,normal
2024-01-02,22,0.18,0.0,0.19,0.63,1.0,0.0,1.0,1.0,-0.256399835763011,normal
