Fecha,Hora,period eating,period other,period resting,period rumination,period eating_count,period other_count,period resting_count,period rumination_count,activity_level,activity_level_2
2024-01-01,0,0.511,0.0,0.331,0.157,1.0,0.0,2.0,1.0,-0.0037532977618278465,-0.49420093008427346
2024-01-01,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5949299163451176,-0.22348171609150178
2024-01-01,2,0.0,0.0,0.921,0.079,0.0,0.0,2.0,1.0,-0.537008841026177,-0.6501564053613701
2024-01-01,3,0.0,0.0,0.725,0.275,0.0,0.0,2.0,1.0,-0.3933059199817165,-0.6501564053613701
2024-01-01,4,0.0,0.0,0.843,0.157,0.0,0.0,3.0,2.0,-0.4798209438758304,-1.0768310946312383
2024-01-01,5,0.039,0.039,0.764,0.157,1.0,1.0,4.0,2.0,-0.4150624884188651,0.05491853761189569
2024-01-01,6,0.0,0.036,0.964,0.0,0.0,1.0,1.0,0.0,-0.5691991459951885,0.9757941569660374
2024-01-01,7,0.997,0.003,0.0,0.0,1.0,1.0,0.0,0.0,0.3348978723433344,1.3552313483346359
2024-01-01,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33554506642916315,0.15595547527709658
2024-01-01,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33554506642916315,0.15595547527709658
2024-01-01,10,0.331,0.0,0.079,0.59,2.0,0.0,1.0,1.0,0.145632422423739,-0.11476373871567513
2024-01-01,11,0.528,0.0,0.0,0.472,2.0,0.0,0.0,1.0,0.24242097013615838,0.10871797737582664
2024-01-01,12,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33554506642916315,0.15595547527709658
2024-01-01,13,0.18,0.393,0.039,0.387,1.0,1.0,1.0,1.0,0.13778470470327453,0.9285566590647676
2024-01-01,14,0.118,0.0,0.089,0.793,1.0,0.0,2.0,2.0,0.09627641931743694,-0.69739390326264
2024-01-01,15,0.039,0.0,0.462,0.498,1.0,0.0,2.0,1.0,-0.192923734140671,-0.49420093008427346
2024-01-01,16,0.279,0.118,0.157,0.446,2.0,1.0,1.0,1.0,0.07600981430001474,1.0845121343418642
2024-01-01,17,0.666,0.334,0.0,0.0,1.0,1.0,0.0,0.0,0.26349079154022936,1.3552313483346359
2024-01-01,18,0.0,0.964,0.036,0.0,0.0,1.0,1.0,0.0,0.09408293413631849,0.9757941569660374
2024-01-01,19,0.0,0.0,0.252,0.748,0.0,0.0,2.0,1.0,-0.046512646236666566,-0.6501564053613701
2024-01-01,20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5949299163451176,-0.22348171609150178
2024-01-01,21,0.0,0.0,0.285,0.715,0.0,0.0,1.0,1.0,-0.07070752580027467,-0.4266746892698683
2024-01-01,22,0.0,0.0,0.77,0.23,0.0,0.0,1.0,1.0,-0.4262989375684549,-0.4266746892698683
2024-01-01,23,0.0,0.0,0.252,0.748,0.0,0.0,2.0,2.0,-0.046512646236666566,-0.8533493785397366
2024-01-02,0,0.275,0.0,0.275,0.449,1.0,0.0,1.0,1.0,-0.00925736846705582,-0.2707192139927717
2024-01-02,1,0.0,0.0,0.59,0.41,0.0,0.0,1.0,2.0,-0.29432686722150136,-0.6298676624482348
2024-01-02,2,0.0,0.0,0.875,0.125,0.0,0.0,1.0,1.0,-0.5032826452708443,-0.4266746892698683
2024-01-02,3,0.0,0.0,0.882,0.118,0.0,0.0,4.0,2.0,-0.5084148924510037,-1.3003128107227402
2024-01-02,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5949299163451176,-0.22348171609150178
2024-01-02,5,0.059,0.118,0.784,0.039,1.0,1.0,1.0,1.0,-0.4270981965281607,0.9285566590647676
2024-01-02,6,0.177,0.0,0.784,0.039,1.0,0.0,2.0,1.0,-0.4016418958188967,-0.49420093008427346
2024-01-02,7,0.839,0.0,0.161,0.0,1.0,0.0,1.0,0.0,0.1857385942025039,-0.0675262408144052
